from,to
uvdl,500
uvdl,cdu
lk,500
lk,503
lk,spd
nr,cdu
nr,500
nr,501
sw,linke
sw,500
cs,500
cl,501
cl,fdp
ks,501
lm,501
kd,501
ab,502
ab,grüne
ft,502
am,502
agl,502
agl,fdp
er,502
rh,503
rh,grüne
cm,503
kp,503
rk,503
rk,cdu
